actas_counted,actas_percentage,actas_total,blank_votes,created_at,id,null_votes,percentage_gap,pos1_candidate_name,pos1_percentage,pos1_votes,pos2_candidate_id,pos2_candidate_name,pos2_party_id,pos2_party_name,pos2_percentage,pos2_percentage_emitted,pos2_votes,pos3_candidate_id,pos3_candidate_name,pos3_party_id,pos3_party_name,pos3_percentage,pos3_percentage_emitted,pos3_votes,region_code,timestamp,total_emitted_votes,total_valid_votes,vote_gap
2213,90.585,2443,64532,2026-04-18T01:26:12.447808+00:00,243,25769,-1.708,KEIKO SOFIA FUJIMORI HIGUCHI,20.328,89051,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,7.706,6.389,33759,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,9.414,7.805,41242,100000,2026-04-18T06:26:11.280232+00:00,528373,438072,-7483
3520,95.367,3691,101800,2026-04-18T01:26:12.747243+00:00,244,39796,4.614,KEIKO SOFIA FUJIMORI HIGUCHI,16.997,103338,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,12.221,9.912,74298,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,7.607,6.17,46246,110000,2026-04-18T06:26:11.62332+00:00,749561,607965,28052
4913,92.663,5302,147507,2026-04-18T01:26:13.058359+00:00,245,67252,1.171,KEIKO SOFIA FUJIMORI HIGUCHI,20.261,175447,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,9.4,7.532,81396,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,8.229,6.594,71258,120000,2026-04-18T06:26:11.924495+00:00,1080703,865944,10138
3421,95.292,3590,95380,2026-04-18T01:26:13.357304+00:00,246,46735,2.056,KEIKO SOFIA FUJIMORI HIGUCHI,26.414,168476,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,10.642,8.703,67875,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,8.586,7.021,54760,130000,2026-04-18T06:26:12.225022+00:00,779934,637819,13115
27841,95.193,29247,528008,2026-04-18T01:26:13.657063+00:00,247,243128,-16.67,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,19.936,1157356,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,3.266,2.883,189602,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,19.936,17.598,1157356,140000,2026-04-18T06:26:12.534163+00:00,6576518,5805382,-967754
2280,84.538,2697,71685,2026-04-18T01:26:14.040272+00:00,248,21833,3.152,KEIKO SOFIA FUJIMORI HIGUCHI,28.134,81753,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,9.912,7.498,28802,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,6.76,5.114,19645,150000,2026-04-18T06:26:13.108194+00:00,384105,290587,9157
453,89.349,507,16484,2026-04-18T01:26:14.33845+00:00,249,4251,19.828,ROBERTO HELBERT SANCHEZ PALOMINO,23.226,16809,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,23.226,18.053,16809,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,3.398,2.641,2459,160000,2026-04-18T06:26:13.408311+00:00,93108,72373,14350
549,94.983,578,11335,2026-04-18T01:26:14.652571+00:00,250,4912,7.001,ROBERTO HELBERT SANCHEZ PALOMINO,12.816,13912,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,12.816,11.147,13912,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,5.815,5.058,6313,170000,2026-04-18T06:26:13.450275+00:00,124803,108556,7599
747,93.142,802,20596,2026-04-18T01:26:14.985104+00:00,251,7297,12.235,ROBERTO HELBERT SANCHEZ PALOMINO,18.736,20282,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,18.736,14.897,20282,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,6.501,5.169,7038,180000,2026-04-18T06:26:13.814875+00:00,136146,108253,13244
4853,91.895,5281,167956,2026-04-18T01:26:15.287324+00:00,252,76098,4.663,KEIKO SOFIA FUJIMORI HIGUCHI,27.971,226718,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,11.35,8.723,91995,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,6.687,5.139,54199,190000,2026-04-18T06:26:14.115299+00:00,1054592,810538,37796
3291,96.88,3397,75413,2026-04-18T01:26:15.604474+00:00,253,39356,22.898,ROBERTO HELBERT SANCHEZ PALOMINO,24.819,156760,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,24.819,21.003,156760,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,1.921,1.626,12133,200000,2026-04-18T06:26:14.450719+00:00,746374,631605,144627
2372,93.607,2534,98012,2026-04-18T01:26:16.174647+00:00,254,35897,17.891,ROBERTO HELBERT SANCHEZ PALOMINO,23.777,86916,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,23.777,17.402,86916,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,5.886,4.308,21517,210000,2026-04-18T06:26:14.767086+00:00,499462,365553,65399
989,95.005,1041,17962,2026-04-18T01:26:16.47858+00:00,255,8677,5.673,RICARDO PABLO BELMONT CASSINELLI,14.583,30616,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,11.889,10.551,24961,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,6.216,5.516,13051,220000,2026-04-18T06:26:15.069418+00:00,236582,209943,11910
573,90.665,632,19494,2026-04-18T01:26:16.829473+00:00,256,8259,0.954,KEIKO SOFIA FUJIMORI HIGUCHI,33.96,34177,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,6.872,5.387,6916,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,5.918,4.639,5956,230000,2026-04-18T06:26:15.924127+00:00,128393,100640,960
2764,95.376,2898,59551,2026-04-18T01:26:17.098893+00:00,257,27902,-11.985,KEIKO SOFIA FUJIMORI HIGUCHI,20.669,114185,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,3.005,2.595,16603,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,14.99,12.942,82814,240000,2026-04-18T06:26:16.221547+00:00,639897,552444,-66211
1376,87.98,1564,51710,2026-04-18T01:26:17.38868+00:00,258,14887,7.222,KEIKO SOFIA FUJIMORI HIGUCHI,29.532,58869,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,12.907,9.675,25730,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,5.685,4.261,11332,250000,2026-04-18T06:26:16.273835+00:00,265940,199343,14398
2137,91.286,2341,66404,2026-04-18T09:45:04.76488+00:00,269,22256,23.439,ROBERTO HELBERT SANCHEZ PALOMINO,29.418,92464,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,29.418,22.945,92464,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,5.979,4.664,18793,090000,2026-04-18T14:45:04.312795+00:00,402976,314316,73671
84917,94.128,90223,2149623,2026-04-18T09:30:04.905203+00:00,267,931980,0.411,KEIKO SOFIA FUJIMORI HIGUCHI,17.063,2651935,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,12.138,10.13,1886495,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,11.727,9.787,1822686,PERU,2026-04-18T14:30:04.189474+00:00,18623725,15542122,63809
86656,93.422,92766,2199259,2026-04-18T09:30:05.243724+00:00,268,945156,0.086,KEIKO SOFIA FUJIMORI HIGUCHI,17.056,2687330,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,12.007,10.009,1891836,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,11.921,9.937,1878212,TOTAL,2026-04-18T14:30:04.231108+00:00,18900465,15756050,13624
86712,93.474,92766,2199259,2026-04-18T13:30:04.589852+00:00,270,945156,0.086,KEIKO SOFIA FUJIMORI HIGUCHI,17.056,2687330,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,12.007,10.009,1891836,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,11.921,9.937,1878212,TOTAL,2026-04-18T18:30:04.031212+00:00,18900465,15756050,13624
1787,70.271,2543,49636,2026-04-18T13:30:04.932857+00:00,271,13176,-23.458,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,25.955,55526,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,2.497,1.93,5341,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,25.955,20.064,55526,EXTRANJERO,2026-04-18T18:30:04.087282+00:00,276740,213928,-50185
84925,94.128,90223,2149642,2026-04-18T17:30:04.602701+00:00,272,931987,0.41,KEIKO SOFIA FUJIMORI HIGUCHI,17.063,2651974,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,12.138,10.129,1886500,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,11.728,9.787,1822732,PERU,2026-04-18T22:30:03.994862+00:00,18623968,15542339,63768
86712,93.474,92766,2199278,2026-04-18T17:30:04.922723+00:00,273,945163,0.086,KEIKO SOFIA FUJIMORI HIGUCHI,17.056,2687369,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,12.007,10.009,1891841,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,11.921,9.938,1878258,TOTAL,2026-04-18T22:30:04.035382+00:00,18900708,15756267,13583
27842,95.196,29247,528008,2026-04-18T17:30:07.480478+00:00,274,243128,-16.67,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,19.936,1157356,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,3.266,2.883,189602,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,19.936,17.598,1157356,140000,2026-04-18T22:30:06.95133+00:00,6576518,5805382,-967754
86713,93.475,92766,2199278,2026-04-18T17:45:03.431179+00:00,275,945163,0.086,KEIKO SOFIA FUJIMORI HIGUCHI,17.056,2687369,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,12.007,10.009,1891841,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,11.921,9.938,1878258,TOTAL,2026-04-18T22:45:02.727202+00:00,18900708,15756267,13583
84926,94.129,90223,2149642,2026-04-18T17:45:03.757793+00:00,276,931987,0.41,KEIKO SOFIA FUJIMORI HIGUCHI,17.063,2651974,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,12.138,10.129,1886500,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,11.728,9.787,1822732,PERU,2026-04-18T22:45:02.767713+00:00,18623968,15542339,63768
27842,95.196,29247,528027,2026-04-18T17:45:06.27946+00:00,277,243135,-16.67,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,19.936,1157402,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,3.266,2.883,189607,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,19.936,17.598,1157402,140000,2026-04-18T22:45:05.907677+00:00,6576761,5805599,-967795
86717,93.479,92766,2199348,2026-04-18T19:15:03.513841+00:00,278,945218,0.086,KEIKO SOFIA FUJIMORI HIGUCHI,17.056,2687502,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,12.007,10.009,1891885,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,11.921,9.938,1878352,TOTAL,2026-04-19T00:15:03.049282+00:00,18901576,15757010,13533
84930,94.133,90223,2149712,2026-04-18T19:15:03.893937+00:00,279,932042,0.41,KEIKO SOFIA FUJIMORI HIGUCHI,17.063,2652107,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,12.138,10.129,1886544,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,11.728,9.787,1822826,PERU,2026-04-19T00:15:03.050705+00:00,18624836,15543082,63718
27846,95.21,29247,528027,2026-04-18T19:15:06.422497+00:00,280,243135,-16.67,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,19.936,1157402,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,3.266,2.883,189607,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,19.936,17.598,1157402,140000,2026-04-19T00:15:05.796443+00:00,6576761,5805599,-967795
27846,95.21,29247,528097,2026-04-18T19:30:07.402867+00:00,281,243190,-16.669,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,19.935,1157496,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,3.266,2.883,189651,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,19.935,17.597,1157496,140000,2026-04-19T00:30:06.951244+00:00,6577629,5806342,-967845
84930,94.133,90223,2149756,2026-04-18T20:00:04.89358+00:00,282,932053,0.409,KEIKO SOFIA FUJIMORI HIGUCHI,17.063,2652184,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,12.137,10.129,1886564,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,11.728,9.787,1822893,PERU,2026-04-19T01:00:04.520866+00:00,18625290,15543481,63671
86717,93.479,92766,2199392,2026-04-18T20:00:05.169264+00:00,283,945229,0.085,KEIKO SOFIA FUJIMORI HIGUCHI,17.056,2687579,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,12.006,10.009,1891905,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,11.921,9.938,1878419,TOTAL,2026-04-19T01:00:04.562126+00:00,18902030,15757409,13486
88080,97.625,90223,2239485,2026-05-02T17:30:06.208481+00:00,1462,979880,0.575,KEIKO SOFIA FUJIMORI HIGUCHI,17.126,2754166,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,12.217,10.179,1964771,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,11.642,9.7,1872237,PERU,2026-05-02T22:30:05.393228+00:00,19301446,16082081,92534
90443,97.496,92766,2308581,2026-05-02T17:30:06.601069+00:00,1463,1000907,0.168,KEIKO SOFIA FUJIMORI HIGUCHI,17.121,2802831,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,12.047,10.022,1972248,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,11.879,9.881,1944683,TOTAL,2026-05-02T22:30:05.434989+00:00,19680116,16370628,27565
2346,96.029,2443,68567,2026-05-02T17:30:08.230379+00:00,1464,27815,-1.698,KEIKO SOFIA FUJIMORI HIGUCHI,20.297,94264,16002918,ROBERTO HELBERT SANCHEZ PALOMINO,10,JUNTOS POR EL PERÚ,7.719,6.392,35847,07845838,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,35,RENOVACIÓN POPULAR,9.417,7.798,43733,100000,2026-05-02T22:30:07.933859+00:00,560794,464412,-7886
